study_hours,attendance,test_score,Result
4.370861069626263,51.10797573031718,37.90758270647538,FAIL
9.556428757689243,72.51405684270148,72.65336475532752,PASS
7.587945476302646,92.37675015258448,73.7580329830394,PASS
6.387926357773329,83.93349318457368,67.34985659677702,PASS
2.404167763981929,88.39366887168698,51.946229499750686,FAIL
2.403950683025824,79.52700200264304,39.81465946278462,FAIL
1.5227525095137953,81.53659387107115,47.69184294079504,FAIL
8.795585311974417,90.95173909391916,79.00300419222691,PASS
6.41003510568888,54.98008053155115,53.93537126932268,FAIL
7.372653200164409,69.36549781858844,60.87340673251831,PASS
1.185260448662222,53.27256650917613,15.114127545616856,FAIL
9.72918866945795,99.26008047979884,92.77020252101453,PASS
8.491983767203795,96.6435603811968,84.80156247395985,PASS
2.9110519961044856,42.36560868211036,30.094865667775505,FAIL
2.636424704863906,82.33451035094131,46.450881250820416,FAIL
2.650640588680904,95.51489904493997,54.03885864990101,FAIL
3.73818018663584,50.83452070764001,31.21197993180249,FAIL
5.72280788469014,74.07671383315777,55.59946156998234,PASS
4.887505167779041,94.92929785528251,66.38056837911735,PASS
3.621062261782377,42.03675871514793,28.648567679124813,FAIL
6.506676052501415,81.84521603481039,66.73925633726438,PASS
,57.840940442353045,27.63069088316608,FAIL
3.629301836816963,95.46377172259182,58.66416778528917,FAIL
4.297256589643226,98.26349470992209,60.61347342069754,PASS
5.104629857953324,96.65598934680604,56.10988594896149,PASS
8.066583652537123,68.45285299944783,73.5377562347506,PASS
2.797064039425237,91.72255905935882,47.00138593687947,FAIL
5.628109945722504,90.67296391210422,60.35847310838231,PASS
6.331731119758382,59.14602839459533,56.31991294278476,FAIL
,89.73492844904064,48.72742669915973,PASS
6.467903667112945,42.220458082929554,44.148592473844566,FAIL
2.534717113185624,75.77619270892319,43.29246189873725,FAIL
1.5854643368675156,53.80053023726218,31.59161628089532,FAIL
9.53996983528,47.23401314663673,70.0589824713704,PASS
9.690688297671034,44.61719209775255,67.1825261038423,PASS
8.275576133048151,81.77732655268838,72.2536720908995,PASS
3.741523922560336,60.39249782608397,38.72666763999167,FAIL
1.8790490260574548,83.48600629172569,43.22036706220943,FAIL
7.158097238609412,43.92138044793654,47.99834331229364,FAIL
4.961372443656412,58.91742026983662,33.76707790874367,FAIL
2.0983441136030097,72.36947754252023,41.62231060581148,FAIL
5.456592191001432,87.44338989033781,66.77999111657327,PASS
1.3094966900369656,59.12515017592419,18.382881342845312,FAIL
9.18388361870904,77.55348258622055,71.89215760448373,PASS
3.3290198344001523,93.15866489417124,57.00433643469525,FAIL
6.962700559185838,76.95179129093827,75.881696660863,PASS
3.8053996848046983,53.97756848521803,40.72199435648775,FAIL
5.680612190600297,41.46404689339228,41.34866500421273,FAIL
5.920392514089517,92.2059324340558,65.56985333854571,PASS
2.6636900997297435,41.27616465102323,36.70329845479894,FAIL
9.726261649881026,92.48210036105196,82.39432749820324,PASS
7.976195410250031,71.73622804163273,64.57950823465198,PASS
9.455490474077704,96.34406191077376,83.40135952378786,PASS
